DeviceDateTime,Longitude,Latitude,Speed,Di1,Di2,Di3
11:49.0,21.138702,42.673818,0,0,0,1
17:39.0,21.138702,42.673818,0,0,0,1
23:30.0,21.138702,42.673818,0,0,0,1
29:21.0,21.138702,42.673818,0,0,0,1
35:11.0,21.138702,42.673818,0,0,0,1
41:02.0,21.138702,42.673818,0,0,0,1
46:53.0,21.138702,42.673818,0,0,0,1
52:43.0,21.138702,42.673818,0,0,0,1
58:34.0,21.138702,42.673818,0,0,0,1
04:25.0,21.138702,42.673818,0,0,0,1
10:16.0,21.138702,42.673818,0,0,0,1
16:06.0,21.138702,42.673818,0,0,0,1
21:56.0,21.138702,42.673818,0,0,0,1
27:47.0,21.138702,42.673818,0,0,0,1
33:37.0,21.138702,42.673818,0,0,0,1
39:28.0,21.138702,42.673818,0,0,0,1
45:19.0,21.138702,42.673818,0,0,0,1
51:09.0,21.138702,42.673818,0,0,0,1
57:00.0,21.138702,42.673818,0,0,0,1
02:51.0,21.138702,42.673818,0,0,0,1
08:42.0,21.138702,42.673818,0,0,0,1
14:32.0,21.138702,42.673818,0,0,0,1
20:23.0,21.138702,42.673818,0,0,0,1
26:14.0,21.138702,42.673818,0,0,0,1
32:04.0,21.138702,42.673818,0,0,0,1
37:55.0,21.138702,42.673818,0,0,0,1
43:45.0,21.138702,42.673818,0,0,0,1
49:35.0,21.138702,42.673818,0,0,0,1
55:26.0,21.138702,42.673818,0,0,0,1
01:17.0,21.138702,42.673818,0,0,0,1
07:08.0,21.138702,42.673818,0,0,0,1
12:58.0,21.138702,42.673818,0,0,0,1
18:49.0,21.138702,42.673818,0,0,0,1
24:40.0,21.138702,42.673818,0,0,0,1
30:30.0,21.138702,42.673818,0,0,0,1
36:21.0,21.138702,42.673818,0,0,0,1
42:12.0,21.138702,42.673818,0,0,0,1
48:02.0,21.138702,42.673818,0,0,0,1
53:53.0,21.138702,42.673818,0,0,0,1
59:44.0,21.138702,42.673818,0,0,0,1
05:33.0,21.138702,42.673818,0,0,0,1
11:24.0,21.138702,42.673818,0,0,0,1
17:15.0,21.138702,42.673818,0,0,0,1
23:06.0,21.138702,42.673818,0,0,0,1
28:56.0,21.138702,42.673818,0,0,0,1
34:47.0,21.138702,42.673818,0,0,0,1
40:38.0,21.138702,42.673818,0,0,0,1
46:28.0,21.138702,42.673818,0,0,0,1
52:19.0,21.138702,42.673818,0,0,0,1
58:10.0,21.138702,42.673818,0,0,0,1
04:00.0,21.138702,42.673818,0,0,0,1
09:51.0,21.138702,42.673818,0,0,0,1
15:42.0,21.138702,42.673818,0,0,0,1
21:31.0,21.138702,42.673818,0,0,0,1
32:20.0,21.137123,42.673543,0,0,0,1
38:11.0,21.137123,42.673543,0,0,0,1
44:02.0,21.137123,42.673543,0,0,0,1
49:52.0,21.137123,42.673543,0,0,0,1
55:43.0,21.137123,42.673543,0,0,0,1
01:34.0,21.137123,42.673543,0,0,0,1
07:23.0,21.137123,42.673543,0,0,0,1
13:14.0,21.137123,42.673543,0,0,0,1
19:05.0,21.137123,42.673543,0,0,0,1
24:55.0,21.137123,42.673543,0,0,0,1
30:46.0,21.137123,42.673543,0,0,0,1
36:37.0,21.137123,42.673543,0,0,0,1
42:28.0,21.137123,42.673543,0,0,0,1
48:18.0,21.137123,42.673543,0,0,0,1
54:09.0,21.137123,42.673543,0,0,0,1
00:00.0,21.137123,42.673543,0,0,0,1
05:50.0,21.137123,42.673543,0,0,0,1
11:41.0,21.137123,42.673543,0,0,0,1
17:32.0,21.137123,42.673543,0,0,0,1
23:21.0,21.137123,42.673543,0,0,0,1
29:12.0,21.137123,42.673543,0,0,0,1
35:03.0,21.137123,42.673543,0,0,0,1
40:53.0,21.137123,42.673543,0,0,0,1
46:44.0,21.137123,42.673543,0,0,0,1
52:35.0,21.137123,42.673543,0,0,0,1
58:26.0,21.137123,42.673543,0,0,0,1
04:16.0,21.137123,42.673543,0,0,0,1
10:07.0,21.137123,42.673543,0,0,0,1
15:58.0,21.137123,42.673543,0,0,0,1
21:48.0,21.137123,42.673543,0,0,0,1
27:39.0,21.137123,42.673543,0,0,0,1
33:30.0,21.137123,42.673543,0,0,0,1
39:19.0,21.137123,42.673543,0,0,0,1
45:10.0,21.137123,42.673543,0,0,0,1
51:01.0,21.137123,42.673543,0,0,0,1
56:51.0,21.137123,42.673543,0,0,0,1
02:42.0,21.137123,42.673543,0,0,0,1
08:33.0,21.137123,42.673543,0,0,0,1
14:23.0,21.137123,42.673543,0,0,0,1
20:14.0,21.137123,42.673543,0,0,0,1
26:05.0,21.137123,42.673543,0,0,0,1
31:56.0,21.137123,42.673543,0,0,0,1
37:46.0,21.137123,42.673543,0,0,0,1
43:37.0,21.137123,42.673543,0,0,0,1
49:28.0,21.137123,42.673543,0,0,0,1
55:18.0,21.137123,42.673543,0,0,0,1
01:08.0,21.137123,42.673543,0,0,0,1
06:59.0,21.137123,42.673543,0,0,0,1
12:49.0,21.137123,42.673543,0,0,0,1
18:40.0,21.137123,42.673543,0,0,0,1
24:31.0,21.137123,42.673543,0,0,0,1
30:21.0,21.137123,42.673543,0,0,0,1
36:12.0,21.137123,42.673543,0,0,0,1
42:03.0,21.137123,42.673543,0,0,0,1
47:54.0,21.137123,42.673543,0,0,0,1
53:44.0,21.137123,42.673543,0,0,0,1
59:35.0,21.137123,42.673543,0,0,0,1
05:26.0,21.137123,42.673543,0,0,0,1
11:16.0,21.137123,42.673543,0,0,0,1
17:06.0,21.137123,42.673543,0,0,0,1
22:57.0,21.137123,42.673543,0,0,0,1
28:47.0,21.137123,42.673543,0,0,0,1
34:38.0,21.137123,42.673543,0,0,0,1
40:29.0,21.137123,42.673543,0,0,0,1
46:20.0,21.137123,42.673543,0,0,0,1
55:56.0,21.138548,42.673583,0,0,0,1
01:46.0,21.138548,42.673583,0,0,0,1
07:37.0,21.138548,42.673583,0,0,0,1
13:28.0,21.138548,42.673583,0,0,0,1
19:18.0,21.138548,42.673583,0,0,0,1
25:09.0,21.138548,42.673583,0,0,0,1
31:00.0,21.138548,42.673583,0,0,0,1
36:50.0,21.138548,42.673583,0,0,0,1
